"computer","user"
"LG9C2VP2","AF88878"
"L1CDHFH2","AF70321"
"L50JKSC2","aa85958"
"L9RD6GH2","AD27841"
"VDAASW707777","AF24317"
"LHKC8VN2","AC85646"
"DMXL430161M ","AC89050"
"L9CJ26H2","AF53248"
"L15LPZF2","AD44516"
"D34L4CZ1","ad98258"
"LGV32QN2","LGV32QN2"
"LG75RG12","2R3G6BVX"
"LCZCP2H2","ac57723"
"LG0B7QH2","2DA3YMWN"
"LCNS06H2","AC90822"
"LJDXCQQ2","JUDEML"
"L5X2MPF2","ac88849"
"L3ZPSP72","lsj1400"
"L3NLR2H2","robinhl"
"LBH790G2","Warrelb"
"LHGBN8H2","ab24307"
"L5XW1GH2","arw6562"
"L8CQ0N72","ab22035"
"L1Z1XQQ2","AD65813"
"LGCK7GH2","AC85190"
"L1R5Y3M2","AF71452"
"L53DYJM2","AF75762"
"LJZKWJM2","AC86776"
"DCG0DCZ1","AD14390"
"L8MVB6H2","af48605"
"LBCWXRC2","AC90995"
"LJXXKH72","AD58502"
"VDAASW707777","17GPHTWV"
"D58BVFK2","AC91366"
"L9JDQGH2","AD67677"
"ab30508","ab30508"
"DG6FX0M2","ac91344"
"AF32700","AF32700"
"LHVC76H2","AC90816"
"L67FNGH2","AF48818"
"LHNY9Y52","AC93417"
"D37K3CZ1","ad07066"
"LFD8GFH2","AD46801"
"`L8JSQ1G2","AD51033"
"L7RG46M2","AF47459"
"D29V0KH2","BushPh"
"L35YTTP2","AF87573"
"LJ8V86H2","AD33957"
"L8KRFLH2","ad54302"
