"user","computer"
"AC88648","L2YP9GH2"
"AF88878","LG9C2VP2"
"AF70321","L1CDHFH2"
"aa85958","L50JKSC2"
"AD27841","L9RD6GH2"
"AD78393","LC7RRVP2"
"AF24317","VDAASW707777"
"AC85646","LHKC8VN2"
"AC89050","DMXL430161M "
"AF53248","L9CJ26H2"
"AC85612","L1MXCQQ2"
"AD44516","L15LPZF2"
"ad98258","D34L4CZ1"
"LGV32QN2","LGV32QN2"
"2R3G6BVX","LG75RG12"
"ab29004","LF891N12"
"ac57723","LCZCP2H2"
"2DA3YMWN","LG0B7QH2"
"AC86576","LBXZQSC2"
"AC90822","LCNS06H2"
"JUDEML","LJDXCQQ2"
"ac88849","L5X2MPF2"
"AC82895","LFZKPJ72"
"lsj1400","L3ZPSP72"
"robinhl","L3NLR2H2"
"AF83789","LB9MMLH2"
"Warrelb","LBH790G2"
"ab24307","LHGBN8H2"
"arw6562","L5XW1GH2"
